earningsGrowth,revenueGrowth,symbol,Date
1.723,0.495,ONGC,2024-07-07
1.723,0.495,ONGC,2024-07-13
1.723,0.495,ONGC,2024-07-20
1.723,0.495,ONGC,2024-07-27
1.723,0.495,ONGC,2024-08-03
-0.297,0.017,ONGC,2024-08-10
-0.297,0.017,ONGC,2024-08-17
-0.297,0.017,ONGC,2024-08-24
-0.297,0.017,ONGC,2024-09-01
-0.297,0.017,ONGC,2024-09-08
-0.297,0.017,ONGC,2024-09-15
-0.297,0.017,ONGC,2024-09-21
-0.297,0.017,ONGC,2024-09-28
-0.297,0.017,ONGC,2024-10-05
-0.297,0.017,ONGC,2024-10-12
-0.297,0.017,ONGC,2024-10-19
