quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.866,1.451,14.487,0.0013600001,0.34135,0.03507,0.03014,0.00269,0.0029499999,ORIENTBELL,2024-07-07
0.866,1.451,14.487,0.0013600001,0.34135,0.03507,0.03014,0.00269,0.0029499999,ORIENTBELL,2024-07-13
0.865,1.451,14.486,0.00135,0.55132,0.032,0.03257,0.00266,0.0029300002,ORIENTBELL,2024-07-20
0.865,1.451,14.486,0.00135,0.55132,0.032,0.03257,0.00266,0.0029300002,ORIENTBELL,2024-07-27
0.865,1.451,14.486,0.00135,0.55132,0.032,0.03257,0.00266,0.0029300002,ORIENTBELL,2024-08-03
,,14.486,0.00052,0.55227,0.03284,-0.00513,,,ORIENTBELL,2024-08-10
,,14.486,0.00052,0.55227,0.03284,-0.00513,,,ORIENTBELL,2024-08-17
,,14.486,0.00052,0.55227,0.03284,-0.00513,,,ORIENTBELL,2024-08-24
,,14.486,0.00052,0.55227,0.03284,-0.00513,,,ORIENTBELL,2024-09-01
,,14.486,0.00052,0.55227,0.03284,-0.00513,,,ORIENTBELL,2024-09-08
,,14.486,0.00052,0.55227,0.03284,-0.00513,,,ORIENTBELL,2024-09-15
,,14.486,0.00052,0.55227,0.03284,-0.00513,,,ORIENTBELL,2024-09-21
,,14.486,0.00052,0.55227,0.03284,-0.00513,,,ORIENTBELL,2024-09-28
,,14.486,0.00052,0.55227,0.03284,-0.00513,,,ORIENTBELL,2024-10-05
,,14.486,0.00052,0.55227,0.03284,-0.00513,,,ORIENTBELL,2024-10-12
,,14.486,0.00052,0.55227,0.03284,-0.00513,,,ORIENTBELL,2024-10-19
