quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
1.803,3.397,16.456,0.07998,0.26128,0.083409995,0.08445,0.07509,0.18591,PARACABLES,2024-07-07
1.803,3.397,16.456,0.07998,0.26128,0.083409995,0.08445,0.07509,0.18591,PARACABLES,2024-07-13
1.803,3.397,16.456,0.07998,0.26128,0.083409995,0.08445,0.07509,0.18591,PARACABLES,2024-07-20
1.803,3.397,16.456,0.07998,0.26128,0.083409995,0.08445,0.07509,0.18591,PARACABLES,2024-07-27
1.803,3.397,16.456,0.07998,0.26128,0.083409995,0.08445,0.07509,0.18591,PARACABLES,2024-08-03
1.803,3.397,16.456,0.07998,0.26128,0.083409995,0.08445,0.07509,0.18591,PARACABLES,2024-08-10
,,16.456,0.08162,0.25838,0.084180005,0.07479,,,PARACABLES,2024-08-17
,,16.456,0.08162,0.25838,0.084180005,0.07479,,,PARACABLES,2024-08-24
,,16.456,0.08162,0.25838,0.084180005,0.07479,,,PARACABLES,2024-09-01
,,16.456,0.08162,0.25838,0.084180005,0.07479,,,PARACABLES,2024-09-08
,,16.456,0.08162,0.25838,0.084180005,0.07479,,,PARACABLES,2024-09-15
,,16.456,0.08162,0.25838,0.084180005,0.07479,,,PARACABLES,2024-09-21
,,16.456,0.08162,0.25838,0.084180005,0.07479,,,PARACABLES,2024-09-28
,,16.456,0.08162,0.25838,0.084180005,0.07479,,,PARACABLES,2024-10-05
,,16.456,0.08162,0.25838,0.084180005,0.07479,,,PARACABLES,2024-10-12
,,16.456,0.08162,0.25838,0.084180005,0.07479,,,PARACABLES,2024-10-19
