priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
2.52395,4.0114365,25.161095,2.369,28.404,PARACABLES,2024-07-07
2.2247272,3.545261,22.237083,2.097,25.135,PARACABLES,2024-07-13
2.0647488,3.5287848,22.13374,2.087,25.019,PARACABLES,2024-07-20
2.13022,3.642179,22.844986,2.153,25.815,PARACABLES,2024-07-27
2.232536,3.8171155,23.94225,2.256,27.041,PARACABLES,2024-08-03
2.3702826,3.897073,23.65294,2.395,28.71,PARACABLES,2024-08-10
2.1929727,3.8573368,23.411764,2.039,24.218,PARACABLES,2024-08-17
2.2504306,3.9382632,23.902939,2.109,25.051,PARACABLES,2024-08-24
2.459222,4.3026752,26.114706,2.302,27.346,PARACABLES,2024-09-01
2.4882946,4.354526,26.42941,2.329,27.673,PARACABLES,2024-09-08
2.627298,4.593429,27.879412,2.456,29.178,PARACABLES,2024-09-15
2.5796943,4.5125027,27.388235,2.413,28.668,PARACABLES,2024-09-21
2.2399318,4.2043033,25.517647,2.25,26.727,PARACABLES,2024-09-28
2.2025237,3.8602445,23.429413,2.067,24.56,PARACABLES,2024-10-05
2.046299,3.8292303,23.241175,2.051,24.365,PARACABLES,2024-10-12
1.9791737,3.6601086,22.214705,1.961,23.3,PARACABLES,2024-10-19
