dividendRate,dividendYield,payoutRatio,lastDividendValue,lastDividendDate,symbol
0.5,0.0058999998,0.4098,0.5,2023-09-18,PARADEEP
0.5,0.0057,0.4098,0.5,2023-09-18,PARADEEP
0.5,0.0058,0.4098,0.5,2023-09-18,PARADEEP
0.5,0.0054,0.4098,0.5,2023-09-18,PARADEEP
0.5,0.0057,0.18120001,0.5,2023-09-18,PARADEEP
0.5,0.0058999998,0.18120001,0.5,2023-09-18,PARADEEP
0.5,0.006,0.18120001,0.5,2024-09-18,PARADEEP
0.5,0.0058,0.18120001,0.5,2024-09-18,PARADEEP
0.5,0.0058999998,0.18120001,0.5,2024-09-18,PARADEEP
0.5,0.0061000003,0.18120001,0.5,2024-09-17,PARADEEP
0.5,0.006,0.18120001,0.5,2024-09-17,PARADEEP
0.5,0.0058999998,0.18120001,0.5,2024-09-17,PARADEEP
0.5,0.0054,0.18120001,0.5,2024-09-17,PARADEEP
0.5,0.0056,0.18120001,0.5,2024-09-17,PARADEEP
