priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
0.5923358,1.952023,68.96721,0.938,15.14,PARADEEP,2024-07-07
0.6091547,2.0067744,70.901634,0.955,15.412,PARADEEP,2024-07-13
0.6087375,2.0063105,70.88525,0.954,15.41,PARADEEP,2024-07-20
0.59261805,1.953183,69.008194,0.938,15.146,PARADEEP,2024-07-27
0.6200699,2.0434299,31.913044,0.98,15.831,PARADEEP,2024-08-03
0.65095776,2.019998,31.547102,0.972,11.794,PARADEEP,2024-08-10
0.63839775,1.9800947,30.923912,0.95,11.535,PARADEEP,2024-08-17
0.6678539,2.0492299,32.003624,0.98,11.902,PARADEEP,2024-08-24
0.62299633,1.9323033,30.177536,0.945,11.471,PARADEEP,2024-09-01
0.6479672,2.010718,31.402174,0.969,11.76,PARADEEP,2024-09-08
0.63802344,1.9796307,30.916668,0.959,11.645,PARADEEP,2024-09-15
0.6172393,1.9142076,29.894928,0.939,11.404,PARADEEP,2024-09-21
0.6203793,1.9230233,30.032608,0.942,11.436,PARADEEP,2024-09-28
0.63062215,1.9557351,30.54348,0.952,11.557,PARADEEP,2024-10-05
0.6869079,2.1304288,33.27174,1.005,12.202,PARADEEP,2024-10-12
0.71091944,2.2048998,34.434784,1.028,12.477,PARADEEP,2024-10-19
