priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
23.776949,13.533483,188.6508,23.946,118.886,PARAS,2024-07-07
22.482815,12.795077,176.6324,22.651,112.456,PARAS,2024-07-13
20.206205,11.504401,158.81499,20.387,101.217,PARAS,2024-07-20
20.070051,11.426883,158.70438,20.251,100.542,PARAS,2024-07-27
19.259243,10.950816,151.53938,19.416,96.396,PARAS,2024-08-03
16.496874,10.69855,116.323814,16.671,74.768,PARAS,2024-08-10
16.320612,10.584242,114.97145,15.718,70.497,PARAS,2024-08-17
17.467981,11.236369,121.93916,17.499,78.485,PARAS,2024-08-24
17.18503,11.144834,121.98945,17.358,77.853,PARAS,2024-09-01
16.328709,10.563219,114.96187,16.462,73.833,PARAS,2024-09-08
15.6797285,10.168615,111.09091,15.854,71.106,PARAS,2024-09-15
15.190791,9.85153,107.11428,15.365,68.914,PARAS,2024-09-21
14.430344,9.343057,102.07178,14.582,65.4,PARAS,2024-09-28
14.484401,9.393422,102.036156,14.659,65.748,PARAS,2024-10-05
15.15809,9.511233,103.11966,14.841,66.562,PARAS,2024-10-12
14.660553,9.197653,100.00477,14.358,64.395,PARAS,2024-10-19
