earningsGrowth,revenueGrowth,symbol,Date
,-0.657,PCJEWELLER,2024-07-07
,-0.657,PCJEWELLER,2024-07-13
,-0.657,PCJEWELLER,2024-07-20
,-0.657,PCJEWELLER,2024-07-27
,-0.657,PCJEWELLER,2024-08-03
,-0.657,PCJEWELLER,2024-08-10
,4.927,PCJEWELLER,2024-08-17
,4.927,PCJEWELLER,2024-08-24
,4.927,PCJEWELLER,2024-09-01
,4.927,PCJEWELLER,2024-09-08
,4.927,PCJEWELLER,2024-09-15
,4.927,PCJEWELLER,2024-09-21
,4.927,PCJEWELLER,2024-09-28
,4.927,PCJEWELLER,2024-10-05
,4.927,PCJEWELLER,2024-10-12
,4.927,PCJEWELLER,2024-10-19
