priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
3.9252608,0.81180346,,10.774,-38.077,PCJEWELLER,2024-07-07
5.3574505,1.1080021,,12.208,-43.146,PCJEWELLER,2024-07-13
5.169874,1.0692084,,12.021,-42.482,PCJEWELLER,2024-07-20
6.596682,1.3642939,,13.449,-47.532,PCJEWELLER,2024-07-27
7.3054743,1.5108829,,14.159,-50.04,PCJEWELLER,2024-08-03
7.038716,1.4557133,,13.892,-49.096,PCJEWELLER,2024-08-10
4.6279163,1.4843316,,9.008,-119.978,PCJEWELLER,2024-08-17
5.6579947,1.814713,,10.076,-134.207,PCJEWELLER,2024-08-24
5.4958987,1.7627232,,9.914,-132.045,PCJEWELLER,2024-09-01
6.1026435,1.9573271,,10.521,-140.135,PCJEWELLER,2024-09-08
6.9825225,2.2395346,,11.402,-151.865,PCJEWELLER,2024-09-15
6.914115,2.217594,,11.334,-150.953,PCJEWELLER,2024-09-21
8.411644,2.697903,,12.832,-170.918,PCJEWELLER,2024-09-28
7.866863,2.5231729,,12.287,-163.655,PCJEWELLER,2024-10-05
7.6958427,2.4360464,,12.015,-160.034,PCJEWELLER,2024-10-12
8.777264,2.8125348,,13.19,-175.683,PCJEWELLER,2024-10-19
