quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
1.509,2.871,3.957,0.12503,0.32337,0.17044,0.23831,0.11297,0.22072001,PDMJEPAPER,2024-07-07
1.509,2.871,3.957,0.12503,0.32337,0.17044,0.23831,0.11297,0.22072001,PDMJEPAPER,2024-07-13
1.509,2.871,3.957,0.12503,0.32337,0.17044,0.23831,0.11297,0.22072001,PDMJEPAPER,2024-07-20
1.509,2.871,3.957,0.12503,0.32337,0.17044,0.23831,0.11297,0.22072001,PDMJEPAPER,2024-07-27
1.509,2.871,3.957,0.12503,0.32337,0.17044,0.23831,0.11297,0.22072001,PDMJEPAPER,2024-08-03
,,3.957,0.14187,0.34474,0.19118,0.16496,,,PDMJEPAPER,2024-08-10
,,3.957,0.14187,0.34474,0.19118,0.16496,,,PDMJEPAPER,2024-08-17
,,3.957,0.14187,0.34474,0.19118,0.16496,,,PDMJEPAPER,2024-08-24
,,3.957,0.14187,0.34474,0.19118,0.16496,,,PDMJEPAPER,2024-09-01
,,3.957,0.14187,0.34474,0.19118,0.16496,,,PDMJEPAPER,2024-09-08
,,3.957,0.14187,0.34474,0.19118,0.16496,,,PDMJEPAPER,2024-09-15
,,3.957,0.14187,0.34474,0.19118,0.16496,,,PDMJEPAPER,2024-09-21
,,3.957,0.14187,0.34474,0.19118,0.16496,,,PDMJEPAPER,2024-09-28
,,3.957,0.14187,0.34474,0.19118,0.16496,,,PDMJEPAPER,2024-10-05
,,3.957,0.14187,0.34474,0.19118,0.16496,,,PDMJEPAPER,2024-10-12
,,3.957,0.14187,0.34474,0.19118,0.16496,,,PDMJEPAPER,2024-10-19
