dividendRate,dividendYield,payoutRatio,lastDividendValue,lastDividendDate,symbol
11.25,0.015,0.2809,6.25,2023-11-22,PGIL
11.25,0.0154,0.2809,6.25,2023-11-22,PGIL
11.25,0.0138,0.2809,6.25,2023-11-22,PGIL
11.25,0.0116,0.2809,6.25,2023-11-22,PGIL
11.25,0.0114,0.2809,6.25,2023-11-22,PGIL
11.25,0.0115,0.2809,6.25,2023-11-22,PGIL
11.25,0.012,0.1996,6.25,2023-11-22,PGIL
11.25,0.0108,0.1996,6.25,2023-11-22,PGIL
11.25,0.0109,0.1996,6.25,2023-11-22,PGIL
11.25,0.0119,0.1996,6.25,2023-11-22,PGIL
11.25,0.0117,0.1996,6.25,2023-11-22,PGIL
11.25,0.0127,0.1996,6.25,2023-11-22,PGIL
11.25,0.012999999,0.1996,6.25,2023-11-22,PGIL
11.25,0.012200001,0.1996,6.25,2023-11-22,PGIL
11.25,0.0115,0.1996,6.25,2023-11-22,PGIL
11.25,0.0113,0.1996,6.25,2023-11-22,PGIL
