quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
3.336,4.984,8.936,0.17108,0.60274,0.26525,0.29132,0.10333,0.17396,PIXTRANS,2024-07-07
3.336,4.984,8.936,0.17108,0.60274,0.26525,0.29132,0.10333,0.17396,PIXTRANS,2024-07-13
3.336,4.984,8.936,0.17108,0.60274,0.26525,0.29132,0.10333,0.17396,PIXTRANS,2024-07-20
3.336,4.984,8.936,0.17108,0.60274,0.26525,0.29132,0.10333,0.17396,PIXTRANS,2024-07-27
3.336,4.984,8.936,0.17108,0.60274,0.26525,0.29131,0.10333,0.17396,PIXTRANS,2024-08-03
3.336,4.984,8.936,0.17108,0.60274,0.26525,0.29131,0.10333,0.17396,PIXTRANS,2024-08-10
,,8.936,0.18917,0.61049,0.27245,0.21348,,,PIXTRANS,2024-08-17
,,8.936,0.18917,0.61049,0.27245,0.21348,,,PIXTRANS,2024-08-24
,,8.936,0.18917,0.61049,0.27245,0.21348,,,PIXTRANS,2024-09-01
,,8.936,0.18917,0.61049,0.27245,0.21348,,,PIXTRANS,2024-09-08
,,8.936,0.18917,0.61049,0.27245,0.21348,,,PIXTRANS,2024-09-15
,,8.936,0.18917,0.61049,0.27245,0.21348,,,PIXTRANS,2024-09-21
,,8.936,0.18917,0.61049,0.27245,0.21348,,,PIXTRANS,2024-09-28
,,8.936,0.18917,0.61049,0.27245,0.21348,,,PIXTRANS,2024-10-05
,,8.936,0.18917,0.61049,0.27245,0.21348,,,PIXTRANS,2024-10-12
,,8.936,0.18917,0.61049,0.27245,0.21348,,,PIXTRANS,2024-10-19
