quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.571,0.786,145.829,0.33971,1.0,0.87042,0.57104,0.06686,0.18304001,POWERGRID,2024-07-07
0.571,0.786,145.829,0.33971,1.0,0.87042,0.57104,0.06686,0.18304001,POWERGRID,2024-07-13
0.571,0.786,145.829,0.33971,1.0,0.87042,0.57104,0.06686,0.18304001,POWERGRID,2024-07-20
0.571,0.786,145.829,0.33971,1.0,0.87042,0.57104,0.06686,0.18304001,POWERGRID,2024-07-27
,,145.829,0.34278,1.0,0.86971,0.58168,,,POWERGRID,2024-08-03
,,145.829,0.34278,1.0,0.86971,0.58168,,,POWERGRID,2024-08-10
,,145.829,0.34278,1.0,0.86971,0.58168,,,POWERGRID,2024-08-17
,,145.829,0.34278,1.0,0.86971,0.58168,,,POWERGRID,2024-08-24
,,145.829,0.34278,1.0,0.86971,0.58168,,,POWERGRID,2024-09-01
,,145.829,0.34278,1.0,0.86971,0.58168,,,POWERGRID,2024-09-08
,,145.829,0.34278,1.0,0.86971,0.58168,,,POWERGRID,2024-09-15
,,145.829,0.34278,1.0,0.86971,0.58168,,,POWERGRID,2024-09-21
,,145.829,0.34278,1.0,0.86971,0.58168,,,POWERGRID,2024-09-28
,,145.829,0.34278,1.0,0.86971,0.58168,,,POWERGRID,2024-10-05
,,145.829,0.34278,1.0,0.86971,0.58168,,,POWERGRID,2024-10-12
,,145.829,0.34278,1.0,0.86971,0.58168,,,POWERGRID,2024-10-19
