priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
1.7913177,2.4682362,45.64789,1.594,17.294,PRECAM,2024-07-07
1.7167025,2.3654249,43.84941,1.519,16.485,PRECAM,2024-07-13
1.6723018,2.3042455,42.715294,1.474,16.003,PRECAM,2024-07-20
1.7220453,2.3727865,44.089626,1.524,16.543,PRECAM,2024-07-27
1.8035693,2.4851174,46.068233,1.606,17.427,PRECAM,2024-08-03
1.7467328,2.4068031,44.61647,1.549,16.811,PRECAM,2024-08-10
1.7162054,2.347655,36.77137,1.487,14.877,PRECAM,2024-08-17
2.2653244,3.098813,48.536777,2.066,20.673,PRECAM,2024-08-24
2.2673655,3.1016054,48.580517,2.068,20.694,PRECAM,2024-09-01
2.3794534,3.2549343,50.780197,2.18,21.815,PRECAM,2024-09-08
2.4628696,3.3690422,52.66468,2.264,22.65,PRECAM,2024-09-15
2.3272138,3.1834738,49.86282,2.128,21.293,PRECAM,2024-09-21
2.1409886,2.92873,45.87276,1.942,19.429,PRECAM,2024-09-28
2.138019,2.9246683,45.62772,1.939,19.4,PRECAM,2024-10-05
2.2202296,3.018214,47.180553,2.007,20.084,PRECAM,2024-10-12
2.8572183,3.908485,60.976234,2.658,26.596,PRECAM,2024-10-19
