dividendRate,dividendYield,payoutRatio,lastDividendValue,lastDividendDate,symbol
0.5,0.0023999999,0.0509,0.5,2023-09-11,PREMIERPOL
0.5,0.0022,0.0509,0.5,2023-09-11,PREMIERPOL
0.5,0.0023,0.0509,0.5,2023-09-11,PREMIERPOL
0.75,0.0034,0.0509,0.75,2024-09-09,PREMIERPOL
0.75,0.0034,0.0509,,,PREMIERPOL
0.75,0.0036000002,0.048299998,0.75,2024-09-09,PREMIERPOL
0.75,0.0037,0.048299998,0.75,2024-09-09,PREMIERPOL
0.75,0.0034999999,0.048299998,0.75,2024-09-09,PREMIERPOL
0.75,0.0033000002,0.048299998,0.75,2024-09-09,PREMIERPOL
0.75,0.0034,0.048299998,0.75,2024-09-09,PREMIERPOL
0.75,0.003,0.048299998,0.75,2024-09-09,PREMIERPOL
0.75,0.0031,0.048299998,0.75,2024-09-09,PREMIERPOL
0.75,0.0023999999,0.0637,0.75,2024-09-09,PREMIERPOL
