quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
1.45,2.482,20.83,0.06968,0.42371,0.11102,0.10687,0.12759,0.24474001,PREMIERPOL,2024-07-07
1.45,2.482,20.83,0.06968,0.42371,0.11102,0.10687,0.12759,0.24474001,PREMIERPOL,2024-07-13
1.45,2.482,20.83,0.06968,0.42371,0.11102,0.10687,0.12759,0.24474001,PREMIERPOL,2024-07-20
1.45,2.482,20.83,0.06968,0.42371,0.11102,0.10687,0.12759,0.24474001,PREMIERPOL,2024-07-27
1.45,2.482,20.83,0.06968,0.42371,0.11102,0.10687,0.12759,0.24474001,PREMIERPOL,2024-08-03
,,20.83,0.07399,0.42299,0.11254,0.09823,,,PREMIERPOL,2024-08-10
,,20.83,0.07399,0.42299,0.11254,0.09823,,,PREMIERPOL,2024-08-17
,,20.83,0.07399,0.42299,0.11254,0.09823,,,PREMIERPOL,2024-08-24
,,20.83,0.07399,0.42299,0.11254,0.09823,,,PREMIERPOL,2024-09-01
,,20.83,0.07399,0.42299,0.11254,0.09823,,,PREMIERPOL,2024-09-08
,,20.83,0.07399,0.42299,0.11254,0.09823,,,PREMIERPOL,2024-09-15
,,20.83,0.07399,0.42299,0.11254,0.09823,,,PREMIERPOL,2024-09-21
,,20.83,0.07399,0.42299,0.11254,0.09823,,,PREMIERPOL,2024-09-28
,,20.83,0.07399,0.42299,0.11254,0.09823,,,PREMIERPOL,2024-10-05
,,20.83,0.07399,0.42299,0.11254,0.09823,,,PREMIERPOL,2024-10-12
1.088,2.56,4.148,0.08335,0.35548002,0.12168,0.12054,,,PREMIERPOL,2024-10-19
