earningsGrowth,revenueGrowth,symbol,Date
-0.482,0.102,RADIANTCMS,2024-07-07
-0.482,0.102,RADIANTCMS,2024-07-13
-0.482,0.102,RADIANTCMS,2024-07-20
-0.482,0.102,RADIANTCMS,2024-07-27
-0.482,0.102,RADIANTCMS,2024-08-03
-0.246,0.084,RADIANTCMS,2024-08-10
-0.246,0.07,RADIANTCMS,2024-08-17
-0.246,0.07,RADIANTCMS,2024-08-24
-0.246,0.07,RADIANTCMS,2024-09-01
-0.246,0.07,RADIANTCMS,2024-09-08
-0.246,0.07,RADIANTCMS,2024-09-15
-0.246,0.07,RADIANTCMS,2024-09-21
-0.246,0.07,RADIANTCMS,2024-09-28
-0.246,0.07,RADIANTCMS,2024-10-05
-0.246,0.07,RADIANTCMS,2024-10-12
-0.246,0.07,RADIANTCMS,2024-10-19
