dividendRate,dividendYield,payoutRatio,lastDividendValue,lastDividendDate,symbol
10.0,0.0031,0.012200001,10.0,2024-06-13,RAYMOND
10.0,0.005,0.012200001,10.0,2024-06-13,RAYMOND
10.0,0.0047999998,0.012200001,10.0,2024-06-13,RAYMOND
10.0,0.0050999997,0.012200001,10.0,2024-06-13,RAYMOND
10.0,0.0052,0.0403,10.0,2024-06-13,RAYMOND
10.0,0.0055,0.0403,10.0,2024-06-13,RAYMOND
10.0,0.0047999998,0.0403,10.0,2024-06-13,RAYMOND
10.0,0.005,0.0403,10.0,2024-06-13,RAYMOND
10.0,0.0054,0.0403,10.0,2024-06-13,RAYMOND
10.0,0.0056,0.0403,10.0,2024-06-13,RAYMOND
10.0,0.006,0.0403,10.0,2024-06-13,RAYMOND
10.0,0.0062,0.0403,10.0,2024-06-13,RAYMOND
10.0,0.0058999998,0.0403,10.0,2024-06-13,RAYMOND
