priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
8.066173,2.222737,10.833333,32.561,,RECLTD,2024-07-07
8.865118,2.4406261,11.890858,33.358,,RECLTD,2024-07-13
8.315614,2.2914736,11.160016,32.812,,RECLTD,2024-07-20
8.697764,2.3967805,11.681598,33.198,,RECLTD,2024-07-27
8.225397,2.2230992,11.013879,32.452,,RECLTD,2024-08-03
7.9003124,2.1352377,10.582402,32.127,,RECLTD,2024-08-10
7.8027196,2.1088612,10.449793,31.815,,RECLTD,2024-08-17
8.011381,2.13451,10.582612,32.125,,RECLTD,2024-08-24
8.344536,2.2547514,11.172706,32.57,,RECLTD,2024-09-01
8.176938,2.210002,10.952939,32.404,,RECLTD,2024-09-08
7.641859,2.065385,10.236207,31.869,,RECLTD,2024-09-15
7.268314,1.964426,9.735846,31.495,,RECLTD,2024-09-21
7.540901,2.0380988,10.100974,31.768,,RECLTD,2024-09-28
7.055649,1.9065791,9.452561,31.281,,RECLTD,2024-10-05
7.3248615,1.9569678,9.698883,31.468,,RECLTD,2024-10-12
7.353119,1.9873464,9.852995,31.58,,RECLTD,2024-10-19
