quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.157,0.568,,,0.10988,,-2.7145498,-0.10052,,REGENCERAM,2024-07-07
0.157,0.568,,,0.10988,,-2.7145498,-0.10052,,REGENCERAM,2024-07-13
0.157,0.568,,,0.10988,,-2.7145498,-0.10052,,REGENCERAM,2024-07-20
0.157,0.568,,,0.10988,,-2.7145498,-0.10052,,REGENCERAM,2024-07-27
0.157,0.568,,,0.10988,,-2.7145498,-0.10052,,REGENCERAM,2024-08-03
0.157,0.568,,,0.10988,,-2.7145498,-0.10052,,REGENCERAM,2024-08-10
0.157,0.568,,,0.10988,,-2.7145498,-0.10052,,REGENCERAM,2024-08-17
,,,,0.121549994,-2.5016701,-3.27446,,,REGENCERAM,2024-08-24
,,,,0.121549994,-2.5016701,-3.27446,,,REGENCERAM,2024-09-01
,,,,0.121549994,-2.5016701,-3.27446,,,REGENCERAM,2024-09-08
,,,,0.121549994,-2.5016701,-3.27446,,,REGENCERAM,2024-09-15
,,,,0.121549994,-2.5016701,-3.27446,,,REGENCERAM,2024-09-21
,,,,0.121549994,-2.5016701,-3.27446,,,REGENCERAM,2024-09-28
,,,,0.121549994,-2.5016701,-3.27446,,,REGENCERAM,2024-10-05
,,,,0.121549994,-2.5016701,-3.27446,,,REGENCERAM,2024-10-12
,,,,0.121549994,-2.5016701,-3.27446,,,REGENCERAM,2024-10-19
