quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.96,1.097,,0.012,0.19194001,0.03253,0.02469,0.00457,,RELCAPITAL,2024-07-07
0.96,1.097,,0.012,0.19194001,0.03253,0.02469,0.00457,,RELCAPITAL,2024-07-13
,,,,,,,,,RELCAPITAL,2024-07-20
,,,,,,,,,RELCAPITAL,2024-07-27
,,,,,,,,,RELCAPITAL,2024-08-03
,,,,,,,,,RELCAPITAL,2024-08-10
,,,,,,,,,RELCAPITAL,2024-08-17
,,,,,,,,,RELCAPITAL,2024-08-24
,,,,,,,,,RELCAPITAL,2024-09-01
,,,,,,,,,RELCAPITAL,2024-09-08
,,,,,,,,,RELCAPITAL,2024-09-15
,,,,,,,,,RELCAPITAL,2024-09-21
,,,,,,,,,RELCAPITAL,2024-09-28
,,,,,,,,,RELCAPITAL,2024-10-05
,,,,,,,,,RELCAPITAL,2024-10-12
,,,,,,,,,RELCAPITAL,2024-10-19
