priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
5.2349343,1.191162,8.5393505,20.235,,REPCOHOME,2024-07-07
5.092642,1.1712193,8.398197,20.125,,REPCOHOME,2024-07-13
4.847984,1.1138004,7.9876766,19.876,,REPCOHOME,2024-07-20
4.935917,1.1351753,8.1373,19.969,,REPCOHOME,2024-07-27
4.5983205,1.0575341,7.581881,19.976,,REPCOHOME,2024-08-03
4.2511106,1.001163,6.8969254,18.931,,REPCOHOME,2024-08-10
4.2760215,1.0059829,6.9301286,18.86,,REPCOHOME,2024-08-17
4.470451,1.052819,7.2517323,19.15,,REPCOHOME,2024-08-24
4.655082,1.0961975,7.5526996,19.335,,REPCOHOME,2024-09-01
4.7342825,1.1149529,7.6808143,19.414,,REPCOHOME,2024-09-08
4.9665256,1.1696477,8.057601,19.647,,REPCOHOME,2024-09-15
4.7885613,1.1277361,7.7677546,19.469,,REPCOHOME,2024-09-21
4.7476296,1.1180964,7.704693,19.428,,REPCOHOME,2024-09-28
4.5954666,1.0821573,7.4516597,19.275,,REPCOHOME,2024-10-05
4.45132,1.0426555,7.1837997,19.107,,REPCOHOME,2024-10-12
4.4272947,1.0426555,7.1837997,19.107,,REPCOHOME,2024-10-19
