quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.417,1.218,95.088,-0.07911,0.11,-0.31767,0.14616,-0.03955,-0.04555,RKDL,2024-07-07
0.417,1.218,95.088,-0.07911,0.11,-0.31767,0.14616,-0.03955,-0.04555,RKDL,2024-07-13
0.417,1.218,95.088,-0.07911,0.11,-0.31767,0.14616,-0.03955,-0.04555,RKDL,2024-07-20
0.417,1.218,95.088,-0.07911,0.11,-0.31767,0.14616,-0.03955,-0.04555,RKDL,2024-07-27
0.417,1.218,95.088,-0.07911,0.11,-0.31767,0.14616,-0.03955,-0.04555,RKDL,2024-08-03
0.417,1.218,95.088,-0.07911,0.11,-0.31767,0.14616,-0.03955,-0.04555,RKDL,2024-08-10
0.417,1.218,95.088,-0.07911,0.11,-0.31767,0.14616,-0.03955,-0.04555,RKDL,2024-08-17
,,95.088,-0.060100004,0.1204,-0.30369,0.0078799995,,,RKDL,2024-08-24
,,95.088,-0.060100004,0.1204,-0.30369,0.0078799995,,,RKDL,2024-09-01
,,95.088,-0.060100004,0.1204,-0.30369,0.0078799995,,,RKDL,2024-09-08
,,95.088,-0.060100004,0.1204,-0.30369,0.0078799995,,,RKDL,2024-09-15
,,95.088,-0.060100004,0.1204,-0.30369,0.0078799995,,,RKDL,2024-09-21
,,95.088,-0.060100004,0.1204,-0.30369,0.0078799995,,,RKDL,2024-09-28
,,95.088,-0.060100004,0.1204,-0.30369,0.0078799995,,,RKDL,2024-10-05
,,95.088,-0.060100004,0.1204,-0.30369,0.0078799995,,,RKDL,2024-10-12
,,95.088,-0.060100004,0.1204,-0.30369,0.0078799995,,,RKDL,2024-10-19
