priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
4.494725,6.630175,49.011456,4.735,22.294,RKFORGE,2024-07-07
4.205434,6.200694,45.768276,4.444,20.922,RKFORGE,2024-07-13
3.9439113,5.817024,42.91501,4.184,19.696,RKFORGE,2024-07-20
3.8815148,5.667464,42.72473,3.975,18.667,RKFORGE,2024-07-27
3.9398649,5.977027,45.03553,4.179,19.625,RKFORGE,2024-08-03
4.153399,6.298043,47.38216,4.391,20.618,RKFORGE,2024-08-10
4.142958,6.2822113,47.38313,4.388,20.608,RKFORGE,2024-08-17
4.295443,6.5132885,49.02637,4.532,21.284,RKFORGE,2024-08-24
4.300553,6.521036,49.010128,4.538,21.308,RKFORGE,2024-09-01
4.3041067,6.526426,49.250126,4.541,21.325,RKFORGE,2024-09-08
4.4833803,6.7982616,51.275406,4.72,22.166,RKFORGE,2024-09-15
4.497357,6.8056726,51.14937,4.725,22.189,RKFORGE,2024-09-21
4.5261574,6.862937,51.815872,4.763,22.366,RKFORGE,2024-09-28
4.2645736,6.4627614,48.7697,4.499,21.128,RKFORGE,2024-10-05
4.4405513,6.7322397,50.751648,4.677,21.962,RKFORGE,2024-10-12
4.579202,6.877758,51.822334,4.773,22.412,RKFORGE,2024-10-19
