priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
0.69621104,1092.8962,,407.366,458.481,RMCL,2024-07-07
0.69621104,1092.8962,,407.366,458.481,RMCL,2024-07-13
,,,,,RMCL,2024-07-20
,,,,,RMCL,2024-07-27
,,,,,RMCL,2024-08-03
,,,,,RMCL,2024-08-10
,,,,,RMCL,2024-08-17
,,,,,RMCL,2024-08-24
,,,,,RMCL,2024-09-01
,,,,,RMCL,2024-09-08
,,,,,RMCL,2024-09-15
,,,,,RMCL,2024-09-21
,,,,,RMCL,2024-09-28
,,,,,RMCL,2024-10-05
,,,,,RMCL,2024-10-12
,,,,,RMCL,2024-10-19
