quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.464,0.858,284.584,0.00135,0.35599998,0.05842,-0.01943,0.01936,0.01214,RML,2024-07-07
0.464,0.858,284.584,0.00135,0.35599998,0.05842,-0.01943,0.01936,0.01214,RML,2024-07-13
0.464,0.858,284.584,0.00135,0.35599998,0.05842,-0.01943,0.01936,0.01214,RML,2024-07-20
,,284.584,0.00962,0.34941003,0.07218,0.037130002,,,RML,2024-07-27
,,284.584,0.00962,0.34941003,0.07218,0.037130002,,,RML,2024-08-03
,,284.584,0.00962,0.34941003,0.07218,0.037130002,,,RML,2024-08-10
,,284.584,0.00962,0.34941003,0.07218,0.037130002,,,RML,2024-08-17
,,284.584,0.00962,0.34941003,0.07218,0.037130002,,,RML,2024-08-24
,,284.584,0.00962,0.34941003,0.07218,0.037130002,,,RML,2024-09-01
,,284.584,0.00962,0.34941003,0.07218,0.037130002,,,RML,2024-09-08
,,284.584,0.00962,0.34941003,0.07218,0.037130002,,,RML,2024-09-15
,,284.584,0.00962,0.34941003,0.07218,0.037130002,,,RML,2024-09-21
,,284.584,0.00962,0.34941003,0.07218,0.037130002,,,RML,2024-09-28
,,284.584,0.00962,0.34941003,0.07218,0.037130002,,,RML,2024-10-05
,,284.584,0.00962,0.34941003,0.07218,0.037130002,,,RML,2024-10-12
,,284.584,0.00962,0.34941003,0.07218,0.037130002,,,RML,2024-10-19
