quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.298,0.506,,0.0136899995,0.15243,0.01358,-0.01779,-0.0027,,ROML,2024-07-07
0.298,0.506,,0.0136899995,0.15243,0.01358,-0.01779,-0.0027,,ROML,2024-07-13
0.298,0.506,,0.0136899995,0.15243,0.01358,-0.01779,-0.0027,,ROML,2024-07-20
0.298,0.506,,0.0136899995,0.15243,0.01358,-0.01779,-0.0027,,ROML,2024-07-27
0.298,0.506,,0.0136899995,0.15243,0.01358,-0.01779,-0.0027,,ROML,2024-08-03
0.298,0.506,,0.0136899995,0.15243,0.01358,-0.01779,-0.0027,,ROML,2024-08-10
0.298,0.506,,0.0136899995,0.15243,0.01358,-0.01779,-0.0027,,ROML,2024-08-17
,,,0.00551,0.1525,0.01471,-0.02507,,,ROML,2024-08-24
,,,0.00551,0.1525,0.01471,-0.02507,,,ROML,2024-09-01
,,,0.00551,0.1525,0.01471,-0.02507,,,ROML,2024-09-08
,,,0.00551,0.1525,0.01471,-0.02507,,,ROML,2024-09-15
,,,0.00551,0.1525,0.01471,-0.02507,,,ROML,2024-09-21
,,,0.00551,0.1525,0.01471,-0.02507,,,ROML,2024-09-28
,,,0.00551,0.1525,0.01471,-0.02507,,,ROML,2024-10-05
,,,0.00551,0.1525,0.01471,-0.02507,,,ROML,2024-10-12
,,,0.00551,0.1525,0.01471,-0.02507,,,ROML,2024-10-19
