priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
0.65263456,1.0341672,8.712811,0.718,5.772,RUCHIRA,2024-07-07
0.6508185,1.0322213,8.68587,0.717,5.762,RUCHIRA,2024-07-13
0.6306227,0.9985658,8.412872,0.695,5.591,RUCHIRA,2024-07-20
0.6166896,0.9792518,8.245146,0.683,5.494,RUCHIRA,2024-07-27
0.6119696,0.97175676,8.182039,0.678,5.456,RUCHIRA,2024-08-03
0.61051726,0.96945065,8.1626215,0.677,5.444,RUCHIRA,2024-08-10
0.63534826,1.0014486,9.820496,0.701,6.192,RUCHIRA,2024-08-17
0.67123973,1.0580214,10.382602,0.738,6.523,RUCHIRA,2024-08-24
0.64911044,1.0231408,10.040311,0.716,6.328,RUCHIRA,2024-09-01
0.6508936,1.0259515,10.060778,0.718,6.344,RUCHIRA,2024-09-08
0.6777322,1.068255,10.4830265,0.745,6.581,RUCHIRA,2024-09-15
0.60800725,0.95791984,9.400283,0.675,5.962,RUCHIRA,2024-09-21
0.6017428,0.948479,9.301061,0.669,5.909,RUCHIRA,2024-09-28
0.59241563,0.93377733,9.156891,0.659,5.827,RUCHIRA,2024-10-05
0.5895813,0.9289487,9.115982,0.656,5.8,RUCHIRA,2024-10-12
0.5994887,0.9197241,9.025459,0.65,5.748,RUCHIRA,2024-10-19
