quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
2.173,3.421,20.518,0.01881,0.05545,0.016649999,0.03951,0.03491,0.08929,SAKUMA,2024-07-07
2.173,3.421,20.518,0.01881,0.05545,0.016649999,0.03951,0.03491,0.08929,SAKUMA,2024-07-13
2.173,3.421,20.518,0.01881,0.05545,0.016649999,0.03951,0.03491,0.08929,SAKUMA,2024-07-20
2.173,3.421,20.518,0.01881,0.05545,0.016649999,0.03951,0.03491,0.08929,SAKUMA,2024-07-27
2.173,3.421,20.518,0.01881,0.05545,0.016649999,0.03951,0.03491,0.08929,SAKUMA,2024-08-03
2.173,3.421,20.518,0.01881,0.05545,0.016649999,0.03951,0.03491,0.08929,SAKUMA,2024-08-10
2.173,3.421,20.518,0.01881,0.05545,0.016649999,0.03951,0.03491,0.08929,SAKUMA,2024-08-17
,,20.518,0.01716,0.05289,0.01656,0.01013,,,SAKUMA,2024-08-24
,,20.518,0.01716,0.05289,0.01656,0.01013,,,SAKUMA,2024-09-01
,,20.518,0.01716,0.05289,0.01656,0.01013,,,SAKUMA,2024-09-08
,,20.518,0.01716,0.05289,0.01656,0.01013,,,SAKUMA,2024-09-15
,,20.518,0.01716,0.05289,0.01656,0.01013,,,SAKUMA,2024-09-21
,,20.518,0.01716,0.05289,0.01656,0.01013,,,SAKUMA,2024-09-28
,,20.518,0.01716,0.05289,0.01656,0.01013,,,SAKUMA,2024-10-05
,,20.518,0.01716,0.05289,0.01656,0.01013,,,SAKUMA,2024-10-12
,,20.518,0.01716,0.05289,0.01656,0.01013,,,SAKUMA,2024-10-19
