priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
3.1468294,2.3234885,,5.453,-56.611,SANGHIIND,2024-07-07
3.0321772,2.2379072,,5.337,-55.408,SANGHIIND,2024-07-13
3.0315516,2.238372,,5.338,-55.414,SANGHIIND,2024-07-20
3.1254117,2.3076744,,5.431,-56.389,SANGHIIND,2024-07-27
3.1263554,2.3076744,,5.431,-56.389,SANGHIIND,2024-07-27
2.7951188,2.2060466,,4.952,-1132.898,SANGHIIND,2024-08-03
2.7188025,2.145814,,4.876,-1115.44,SANGHIIND,2024-08-10
2.630113,2.0746512,,4.82,-1102.701,SANGHIIND,2024-08-17
2.7565186,2.1755815,,4.914,-1124.068,SANGHIIND,2024-08-24
2.618328,2.0632558,,4.772,-1091.512,SANGHIIND,2024-09-01
2.574713,2.0253487,,4.724,-1080.525,SANGHIIND,2024-09-08
2.5676432,2.0265117,,4.725,-1080.862,SANGHIIND,2024-09-15
2.5125422,1.9830232,,4.67,-1068.257,SANGHIIND,2024-09-21
2.4736476,1.9523255,,4.631,-1059.36,SANGHIIND,2024-09-28
2.464513,1.9451163,,4.622,-1057.27,SANGHIIND,2024-10-05
2.4491901,1.9327908,,4.606,-1053.698,SANGHIIND,2024-10-12
2.4126534,1.904186,,4.57,-1045.407,SANGHIIND,2024-10-19
