priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
13.120291,7.165184,53.500977,12.298,40.055,SAREGAMA,2024-07-07
12.565879,6.862412,51.14035,11.744,38.251,SAREGAMA,2024-07-13
12.677239,6.923228,51.543324,11.856,38.614,SAREGAMA,2024-07-20
13.05084,7.1272564,53.165855,12.229,39.829,SAREGAMA,2024-07-27
12.493975,6.8068275,52.359158,11.643,37.92,SAREGAMA,2024-08-03
11.1500845,6.2777925,48.28974,10.153,34.83,SAREGAMA,2024-08-10
11.66463,6.701544,51.5493,10.447,35.837,SAREGAMA,2024-08-17
11.961709,6.872221,52.91541,11.188,38.378,SAREGAMA,2024-08-24
11.574709,6.6498823,51.306763,10.801,37.051,SAREGAMA,2024-09-01
11.489341,6.600837,50.77465,10.716,36.758,SAREGAMA,2024-09-08
11.899077,6.832331,52.608257,11.118,38.14,SAREGAMA,2024-09-15
11.770485,6.762359,52.174572,10.997,37.722,SAREGAMA,2024-09-21
12.887093,7.403871,57.124115,12.113,41.551,SAREGAMA,2024-09-28
13.86137,7.9518704,61.35217,13.067,44.822,SAREGAMA,2024-10-05
13.875021,7.6857185,59.179256,12.603,43.234,SAREGAMA,2024-10-12
12.484123,7.020664,54.058407,11.446,39.264,SAREGAMA,2024-10-19
