priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
2.2759748,2.0252254,26.449238,2.469,16.361,SARLAPOLY,2024-07-07
2.211665,1.9684778,25.708122,2.406,15.941,SARLAPOLY,2024-07-13
2.2441108,1.9919931,26.015228,2.432,16.115,SARLAPOLY,2024-07-20
2.252173,2.0152848,26.23604,2.534,17.118,SARLAPOLY,2024-07-27
2.242975,2.140448,27.865482,2.507,15.697,SARLAPOLY,2024-08-03
2.2115123,2.0460882,20.299807,2.408,15.078,SARLAPOLY,2024-08-10
1.808027,1.7253816,17.117989,2.158,13.511,SARLAPOLY,2024-08-17
1.984743,1.8819332,18.671179,2.236,14.001,SARLAPOLY,2024-08-24
1.8979183,1.8016105,17.874275,2.152,13.474,SARLAPOLY,2024-09-01
1.9244767,1.8329986,18.185686,2.185,13.68,SARLAPOLY,2024-09-08
1.8801438,1.794202,17.800774,2.144,13.425,SARLAPOLY,2024-09-15
1.8445442,1.7448775,17.31141,2.093,13.102,SARLAPOLY,2024-09-21
1.7540927,1.6739126,16.60735,2.018,12.636,SARLAPOLY,2024-09-28
1.8168124,1.7265514,17.129593,2.073,12.981,SARLAPOLY,2024-10-05
1.8760571,1.7606691,17.468084,2.109,13.205,SARLAPOLY,2024-10-12
1.8000604,1.705496,16.920696,2.051,12.843,SARLAPOLY,2024-10-19
