priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
1.1289793,4.1089716,43.608692,1.536,23.945,SARVESHWAR,2024-07-07
1.0636945,3.871364,41.086956,1.467,22.869,SARVESHWAR,2024-07-13
1.0265496,3.7361736,39.652172,1.428,22.257,SARVESHWAR,2024-07-20
1.0490617,3.8181071,40.521736,1.452,22.628,SARVESHWAR,2024-07-27
1.0231727,3.7238836,39.52174,1.424,22.202,SARVESHWAR,2024-08-03
1.0017887,3.564113,37.826084,1.378,21.478,SARVESHWAR,2024-08-10
0.9961583,3.6255634,38.47826,1.437,22.406,SARVESHWAR,2024-08-17
0.99840945,3.6337566,38.565216,,,SARVESHWAR,2024-08-24
0.9792743,3.564113,37.826084,,,SARVESHWAR,2024-09-01
1.0895833,3.965588,0.114407286,,,SARVESHWAR,2024-09-08
1.1257515,4.2547774,0.11842572,,,SARVESHWAR,2024-09-15
1.122381,4.2420382,0.11807115,,,SARVESHWAR,2024-09-21
1.0448592,3.9490447,0.10991608,,,SARVESHWAR,2024-09-28
1.1279985,4.2632694,0.1186621,,,SARVESHWAR,2024-10-05
1.0796883,4.0552015,0.11287082,,,SARVESHWAR,2024-10-12
1.1010344,4.161359,0.115825556,,,SARVESHWAR,2024-10-19
