dividendRate,dividendYield,payoutRatio,lastDividendValue,lastDividendDate,symbol
26.0,0.014199999,0.48459998,13.0,2024-07-26,SASKEN
26.0,0.015,0.48459998,,,SASKEN
26.0,0.0154,0.48459998,,,SASKEN
26.0,0.0152,0.48459998,,,SASKEN
26.0,0.0153,0.48459998,,,SASKEN
26.0,0.0162,0.5356,,,SASKEN
26.0,0.016900001,0.5356,,,SASKEN
26.0,0.0159,0.5356,,,SASKEN
26.0,0.0164,0.5356,,,SASKEN
26.0,0.0172,0.5356,,,SASKEN
26.0,0.0173,0.5356,,,SASKEN
26.0,0.0177,0.5356,,,SASKEN
26.0,0.0175,0.5356,,,SASKEN
26.0,0.0176,0.5356,,,SASKEN
26.0,0.0152,0.5356,,,SASKEN
26.0,0.0153,0.5356,,,SASKEN
