priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
0.8535125,1.6199853,26.549019,0.758,10.308,SAURASHCEM,2024-07-07
0.83585167,1.5905529,26.066668,0.743,10.098,SAURASHCEM,2024-07-13
0.7876269,1.4987855,24.562744,0.695,9.442,SAURASHCEM,2024-07-20
0.8875343,1.688638,27.250967,0.842,11.897,SAURASHCEM,2024-07-27
0.8875343,1.688638,27.678432,0.842,11.897,SAURASHCEM,2024-07-27
0.8280488,1.5717635,25.762745,0.78,11.029,SAURASHCEM,2024-08-03
0.81786954,1.5560925,25.505882,0.772,10.913,SAURASHCEM,2024-08-10
0.79387486,1.4571619,24.961065,0.741,10.66,SAURASHCEM,2024-08-17
0.8313757,1.5277412,26.116566,0.784,11.281,SAURASHCEM,2024-08-24
0.8026745,1.4662535,25.065441,0.75,10.8,SAURASHCEM,2024-09-01
0.8058654,1.4802498,25.304705,0.758,10.909,SAURASHCEM,2024-09-08
0.8384934,1.5401822,26.329245,0.791,11.379,SAURASHCEM,2024-09-15
0.80352086,1.4759432,25.231085,0.756,10.875,SAURASHCEM,2024-09-21
0.80912167,1.486231,25.3551,0.761,10.956,SAURASHCEM,2024-09-28
0.7528531,1.3813192,23.661884,0.704,10.134,SAURASHCEM,2024-10-05
0.7245886,1.3309568,22.706123,0.677,9.74,SAURASHCEM,2024-10-12
0.74191374,1.3626577,23.342213,0.694,9.988,SAURASHCEM,2024-10-19
