quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
19.903,19.906,330.114,0.2172,0.3142,,0.33146,0.046430003,0.21976,SBICARD,2024-07-07
19.903,19.906,330.114,0.2172,0.3142,,0.33146,0.046430003,0.21976,SBICARD,2024-07-13
19.903,19.906,330.114,0.2172,0.3142,,0.33146,0.046430003,0.21976,SBICARD,2024-07-20
1.45,1.478,333.62,0.21707001,0.56342,,0.32418,0.046430003,0.21976,SBICARD,2024-07-27
,,333.62,0.21977,0.57048,,0.3208,,,SBICARD,2024-08-03
,,333.62,0.21977,0.57048,,0.3208,,,SBICARD,2024-08-10
,,333.62,0.21977,0.57048,,0.3208,,,SBICARD,2024-08-17
,,333.62,0.21977,0.57048,,0.3208,,,SBICARD,2024-08-24
,,333.62,0.21977,0.57048,,0.3208,,,SBICARD,2024-09-01
,,333.62,0.21977,0.57048,,0.3208,,,SBICARD,2024-09-08
,,333.62,0.21977,0.57048,,0.3208,,,SBICARD,2024-09-15
,,333.62,0.21977,0.57048,,0.3208,,,SBICARD,2024-09-21
,,333.62,0.21977,0.57048,,0.3208,,,SBICARD,2024-09-28
,,333.62,0.21977,0.57048,,0.3208,,,SBICARD,2024-10-05
,,333.62,0.21977,0.57048,,0.3208,,,SBICARD,2024-10-12
,,333.62,0.21977,0.57048,,0.3208,,,SBICARD,2024-10-19
