quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
,,46.2,0.12550999,0.82366997,0.16434999,0.07168,,,SECURCRED,2024-07-07
,,46.2,0.12550999,0.82366997,0.16434999,0.07168,,,SECURCRED,2024-07-13
,,46.2,0.12550999,0.82366997,0.16434999,0.07168,,,SECURCRED,2024-07-20
,,46.2,0.12550999,0.82366997,0.16434999,0.07168,,,SECURCRED,2024-07-27
,,46.2,0.12550999,0.82366997,0.16434999,0.07168,,,SECURCRED,2024-08-03
,,46.2,0.12550999,0.82366997,0.16434999,0.07168,,,SECURCRED,2024-08-10
,,46.2,0.12550999,0.82366997,0.16434999,0.07168,,,SECURCRED,2024-08-17
,,46.2,0.12550999,0.82366997,0.16434999,0.07168,,,SECURCRED,2024-08-24
,,46.2,0.12550999,0.82366997,0.16434999,0.07168,,,SECURCRED,2024-09-01
,,46.2,0.12550999,0.82366997,0.16434999,0.07168,,,SECURCRED,2024-09-08
,,46.2,0.12550999,0.82366997,0.16434999,0.07168,,,SECURCRED,2024-09-15
,,46.2,0.12550999,0.82366997,0.16434999,0.07168,,,SECURCRED,2024-09-21
,,46.2,0.12550999,0.82366997,0.16434999,0.07168,,,SECURCRED,2024-09-28
,,46.2,0.12550999,0.82366997,0.16434999,0.07168,,,SECURCRED,2024-10-05
,,46.2,0.12550999,0.82366997,0.16434999,0.07168,,,SECURCRED,2024-10-12
,,46.2,0.12550999,0.82366997,0.16434999,0.07168,,,SECURCRED,2024-10-19
