quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
1.179,1.563,549.806,0.020179998,0.35157,0.12185001,0.07535,0.06576,0.15337,SEJALLTD,2024-07-07
1.179,1.563,549.806,0.020179998,0.35157,0.12185001,0.07535,0.06576,0.15337,SEJALLTD,2024-07-13
1.179,1.563,549.806,0.020179998,0.35157,0.12185001,0.07535,0.06576,0.15337,SEJALLTD,2024-07-20
1.179,1.563,549.806,0.020179998,0.35157,0.12185001,0.07535,0.06576,0.15337,SEJALLTD,2024-07-27
1.179,1.563,549.806,0.020179998,0.35157,0.12185001,0.07535,0.06576,0.15337,SEJALLTD,2024-08-03
1.179,1.563,549.806,0.020179998,0.35157,0.12185001,0.07535,0.06576,0.15337,SEJALLTD,2024-08-10
,,549.806,0.0247,0.35571,0.12494001,0.101160005,,,SEJALLTD,2024-08-17
,,549.806,0.0247,0.35571,0.12494001,0.101160005,,,SEJALLTD,2024-08-24
,,549.806,0.0247,0.35571,0.12494001,0.101160005,,,SEJALLTD,2024-09-01
,,549.806,0.0247,0.35571,0.12494001,0.101160005,,,SEJALLTD,2024-09-08
,,549.806,0.0247,0.35571,0.12494001,0.101160005,,,SEJALLTD,2024-09-15
,,549.806,0.0247,0.35571,0.12494001,0.101160005,,,SEJALLTD,2024-09-21
,,549.806,0.0247,0.35571,0.12494001,0.101160005,,,SEJALLTD,2024-09-28
,,549.806,0.0247,0.35571,0.12494001,0.101160005,,,SEJALLTD,2024-10-05
,,549.806,0.0247,0.35571,0.12494001,0.101160005,,,SEJALLTD,2024-10-12
,,549.806,0.0247,0.35571,0.12494001,0.101160005,,,SEJALLTD,2024-10-19
