priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
3.7436814,3.8514361,58.49067,4.238,42.95,SFL,2024-07-07
3.7482038,3.8568337,58.672142,4.243,43.003,SFL,2024-07-13
3.6174333,3.7222736,56.497173,4.112,41.678,SFL,2024-07-20
3.717099,3.8162608,58.153717,4.204,42.604,SFL,2024-07-27
3.6125462,3.7159455,57.143677,4.106,41.616,SFL,2024-08-03
3.2821932,3.5624018,54.657337,3.751,44.351,SFL,2024-08-10
3.1021438,3.366052,51.822346,3.576,42.277,SFL,2024-08-17
3.2343724,3.4968898,53.775047,3.691,43.637,SFL,2024-08-24
3.179312,3.4477558,52.898342,3.646,43.102,SFL,2024-09-01
3.217376,3.492051,53.762177,3.687,43.584,SFL,2024-09-08
3.1823952,3.4540837,53.17765,3.652,43.171,SFL,2024-09-15
3.1866822,3.4587367,53.188324,3.656,43.222,SFL,2024-09-21
3.082617,3.3446488,51.287098,3.551,41.979,SFL,2024-09-28
3.0901647,3.3528378,51.55982,3.558,42.068,SFL,2024-10-05
3.1407437,3.3988078,52.356647,3.601,42.569,SFL,2024-10-12
3.045387,3.305379,50.77187,3.515,41.551,SFL,2024-10-19
