quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
1.203,2.076,71.856,-0.02977,0.15351,-0.00602,-0.0312,-0.01771,-0.091709994,SGL,2024-07-07
1.203,2.076,71.856,-0.02977,0.15351,-0.00602,-0.0312,-0.01771,-0.091709994,SGL,2024-07-13
1.203,2.076,71.856,-0.02977,0.15351,-0.00602,-0.0312,-0.01771,-0.091709994,SGL,2024-07-20
1.203,2.076,71.856,-0.02977,0.15351,-0.00602,-0.0312,-0.01771,-0.091709994,SGL,2024-07-27
1.203,2.076,71.856,-0.02977,0.15351,-0.00602,-0.0312,-0.01771,-0.091709994,SGL,2024-08-03
1.203,2.076,71.856,-0.02977,0.15351,-0.00602,-0.0312,-0.01771,-0.091709994,SGL,2024-08-10
1.203,2.076,71.856,-0.02977,0.15351,-0.00602,-0.0312,-0.01771,-0.091709994,SGL,2024-08-17
,,71.856,-0.01417,0.15517001,0.00795,0.0032499998,,,SGL,2024-08-24
,,71.856,-0.01417,0.15517001,0.00795,0.0032499998,,,SGL,2024-09-01
,,71.856,-0.01417,0.15517001,0.00795,0.0032499998,,,SGL,2024-09-08
,,71.856,-0.01417,0.15517001,0.00795,0.0032499998,,,SGL,2024-09-15
,,71.856,-0.01417,0.15517001,0.00795,0.0032499998,,,SGL,2024-09-21
,,71.856,-0.01417,0.15517001,0.00795,0.0032499998,,,SGL,2024-09-28
,,71.856,-0.01417,0.15517001,0.00795,0.0032499998,,,SGL,2024-10-05
,,71.856,-0.01417,0.15517001,0.00795,0.0032499998,,,SGL,2024-10-12
,,71.856,-0.01417,0.15517001,0.00795,0.0032499998,,,SGL,2024-10-19
