quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.541,2.392,8.082,-0.14345999,-0.00236,-0.15682,-0.48665002,-0.060890004,-0.1038,SHANTI,2024-07-07
0.541,2.392,8.082,-0.14345999,-0.00236,-0.15682,-0.48665002,-0.060890004,-0.1038,SHANTI,2024-07-13
0.541,2.392,8.082,-0.14345999,-0.00236,-0.15682,-0.48665002,-0.060890004,-0.1038,SHANTI,2024-07-20
0.541,2.392,8.082,-0.14345999,-0.00236,-0.15682,-0.48665002,-0.060890004,-0.1038,SHANTI,2024-07-27
0.541,2.392,8.082,-0.14345999,-0.00236,-0.15682,-0.48665002,-0.060890004,-0.1038,SHANTI,2024-08-03
0.541,2.392,8.082,-0.14345999,-0.00236,-0.15682,-0.48665002,-0.060890004,-0.1038,SHANTI,2024-08-10
0.541,2.392,8.082,-0.14345999,-0.00236,-0.15682,-0.48665002,-0.060890004,-0.1038,SHANTI,2024-08-17
,,8.082,-0.27031,-0.05282,-0.44868,-0.25655,,,SHANTI,2024-08-24
,,8.082,-0.27031,-0.05282,-0.44868,-0.25655,,,SHANTI,2024-09-01
,,8.082,-0.27031,-0.05282,-0.44868,-0.25655,,,SHANTI,2024-09-08
,,8.082,-0.27031,-0.05282,-0.44868,-0.25655,,,SHANTI,2024-09-15
,,8.082,-0.27031,-0.05282,-0.44868,-0.25655,,,SHANTI,2024-09-21
,,8.082,-0.27031,-0.05282,-0.44868,-0.25655,,,SHANTI,2024-09-28
,,8.082,-0.27031,-0.05282,-0.44868,-0.25655,,,SHANTI,2024-10-05
,,8.082,-0.27031,-0.05282,-0.44868,-0.25655,,,SHANTI,2024-10-12
,,8.082,-0.27031,-0.05282,-0.44868,-0.25655,,,SHANTI,2024-10-19
