quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
1.422,1.772,2.353,0.106639996,0.23722,0.12866001,0.12151,0.12798001,0.33972,SHARDAMOTR,2024-07-07
1.422,1.772,2.353,0.106639996,0.23722,0.12866001,0.12151,0.12798001,0.33972,SHARDAMOTR,2024-07-13
1.422,1.772,2.353,0.106639996,0.23722,0.12866001,0.12151,0.12798001,0.33972,SHARDAMOTR,2024-07-20
1.422,1.772,2.353,0.106639996,0.23722,0.12866001,0.12151,0.12798001,0.33972,SHARDAMOTR,2024-07-27
1.422,1.772,2.353,0.106639996,0.23722,0.12866001,0.12151,0.12798001,0.33972,SHARDAMOTR,2024-08-03
,,2.353,0.11307,0.2498,0.13741,0.120790005,,,SHARDAMOTR,2024-08-10
,,2.353,0.11307,0.2498,0.13741,0.120790005,,,SHARDAMOTR,2024-08-17
,,2.353,0.11307,0.2498,0.13741,0.120790005,,,SHARDAMOTR,2024-08-24
,,2.353,0.11307,0.2498,0.13741,0.120790005,,,SHARDAMOTR,2024-09-01
,,2.353,0.11307,0.2498,0.13741,0.120790005,,,SHARDAMOTR,2024-09-08
,,2.353,0.11307,0.2498,0.13741,0.120790005,,,SHARDAMOTR,2024-09-15
,,2.353,0.11307,0.2498,0.13741,0.120790005,,,SHARDAMOTR,2024-09-21
,,2.353,0.11307,0.2498,0.13741,0.120790005,,,SHARDAMOTR,2024-09-28
,,2.353,0.11307,0.2498,0.13741,0.120790005,,,SHARDAMOTR,2024-10-05
,,2.353,0.11307,0.2498,0.13741,0.120790005,,,SHARDAMOTR,2024-10-12
,,2.353,0.11307,0.2498,0.13741,0.120790005,,,SHARDAMOTR,2024-10-19
