quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.112,1.474,50.914,0.08725,0.3366,0.12387,0.04066,0.01653,0.06086,SHRIRAMPPS,2024-07-07
0.112,1.474,50.914,0.08725,0.3366,0.12387,0.04066,0.01653,0.06086,SHRIRAMPPS,2024-07-13
0.112,1.474,50.914,0.08725,0.3366,0.12387,0.04066,0.01653,0.06086,SHRIRAMPPS,2024-07-20
0.112,1.474,50.914,0.08725,0.3366,0.12387,0.04066,0.01653,0.06086,SHRIRAMPPS,2024-07-27
0.112,1.474,50.914,0.08725,0.3366,0.12387,0.04066,0.01653,0.06086,SHRIRAMPPS,2024-08-03
0.112,1.474,50.914,0.08725,0.3366,0.12387,0.04066,0.01653,0.06086,SHRIRAMPPS,2024-08-10
0.112,1.474,50.914,0.08725,0.3366,0.12387,0.04066,0.01653,0.06086,SHRIRAMPPS,2024-08-17
,,50.914,0.08631,0.29949,0.08492,-0.02429,,,SHRIRAMPPS,2024-08-24
,,50.914,0.08631,0.29949,0.08492,-0.02429,,,SHRIRAMPPS,2024-09-01
,,50.914,0.08631,0.29949,0.08492,-0.02429,,,SHRIRAMPPS,2024-09-08
,,50.914,0.08631,0.29949,0.08492,-0.02429,,,SHRIRAMPPS,2024-09-15
,,50.914,0.08631,0.29949,0.08492,-0.02429,,,SHRIRAMPPS,2024-09-21
,,50.914,0.08631,0.29949,0.08492,-0.02429,,,SHRIRAMPPS,2024-09-28
,,50.914,0.08631,0.29949,0.08492,-0.02429,,,SHRIRAMPPS,2024-10-05
,,50.914,0.08631,0.29949,0.08492,-0.02429,,,SHRIRAMPPS,2024-10-12
,,50.914,0.08631,0.29949,0.08492,-0.02429,,,SHRIRAMPPS,2024-10-19
