priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
13.214121,20.16512,140.83853,12.851,104.87,SIEMENS,2024-07-07
12.755632,19.469553,135.13577,12.396,101.154,SIEMENS,2024-07-13
11.4767275,17.517498,104.16971,11.118,90.725,SIEMENS,2024-07-20
11.589146,17.689087,104.16051,11.23,91.642,SIEMENS,2024-07-27
11.594613,17.689087,105.27013,11.23,91.642,SIEMENS,2024-07-27
11.525061,17.584753,105.25792,11.162,91.084,SIEMENS,2024-08-03
11.54257,17.617996,99.992744,11.184,91.262,SIEMENS,2024-08-10
11.859558,18.383118,104.16896,11.256,89.667,SIEMENS,2024-08-17
11.638662,17.957212,102.03647,11.226,89.433,SIEMENS,2024-08-24
11.378086,17.627203,100.00145,11.014,87.738,SIEMENS,2024-09-01
10.912024,16.914375,96.15279,10.554,84.079,SIEMENS,2024-09-08
11.070235,17.159615,97.08116,10.712,85.338,SIEMENS,2024-09-15
11.296071,17.472874,98.63939,10.914,86.946,SIEMENS,2024-09-21
12.043199,18.655462,105.26984,11.676,93.017,SIEMENS,2024-09-28
11.962273,18.53182,105.25563,11.597,92.382,SIEMENS,2024-10-05
12.785398,19.818232,112.36624,12.426,98.986,SIEMENS,2024-10-12
12.872999,19.954021,113.59732,12.513,99.683,SIEMENS,2024-10-19
