quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.959,2.435,7.454,-8.9999994e-05,0.15251,0.04535,0.05514,0.00679,-0.00029,SILLYMONKS,2024-07-07
0.959,2.435,7.454,-8.9999994e-05,0.15251,0.04535,0.05514,0.00679,-0.00029,SILLYMONKS,2024-07-13
0.959,2.435,7.454,-8.9999994e-05,0.15251,0.04535,0.05514,0.00679,-0.00029,SILLYMONKS,2024-07-20
0.959,2.435,7.454,-8.9999994e-05,0.15251,0.04535,0.05514,0.00679,-0.00029,SILLYMONKS,2024-07-27
0.959,2.435,7.454,-8.9999994e-05,0.15251,0.04535,0.05514,0.00679,-0.00029,SILLYMONKS,2024-08-03
,,7.454,0.00582,0.16568,0.06082,0.014090001,,,SILLYMONKS,2024-08-10
,,7.454,0.0058399998,0.16284999,0.05763,0.00062,,,SILLYMONKS,2024-08-17
,,7.454,0.0058399998,0.16284999,0.05763,0.00062,,,SILLYMONKS,2024-08-24
,,7.454,0.0058399998,0.16284999,0.05763,0.00062,,,SILLYMONKS,2024-09-01
,,7.454,0.0058399998,0.16284999,0.05763,0.00062,,,SILLYMONKS,2024-09-08
,,7.454,0.0058399998,0.16284999,0.05763,0.00062,,,SILLYMONKS,2024-09-15
,,7.454,0.0058399998,0.16284999,0.05763,0.00062,,,SILLYMONKS,2024-09-21
,,7.454,0.0058399998,0.16284999,0.05763,0.00062,,,SILLYMONKS,2024-09-28
,,7.454,0.0058399998,0.16284999,0.05763,0.00062,,,SILLYMONKS,2024-10-05
,,7.454,0.0058399998,0.16284999,0.05763,0.00062,,,SILLYMONKS,2024-10-12
,,7.454,0.0058399998,0.16284999,0.05763,0.00062,,,SILLYMONKS,2024-10-19
