dividendRate,dividendYield,payoutRatio,lastDividendValue,lastDividendDate,symbol
130.0,0.020299999,0.3584,130.0,2024-07-04,SKFINDIA
130.0,0.022,0.3584,,,SKFINDIA
130.0,0.0233,0.3584,,,SKFINDIA
130.0,0.0231,0.3584,,,SKFINDIA
130.0,0.0232,0.3584,,,SKFINDIA
130.0,0.0234,0.3584,,,SKFINDIA
130.0,0.024,0.3584,,,SKFINDIA
130.0,0.0255,1.1556,,,SKFINDIA
130.0,0.0247,1.1556,,,SKFINDIA
130.0,0.024600001,1.1556,,,SKFINDIA
130.0,0.0239,1.1556,,,SKFINDIA
130.0,0.0241,1.1556,,,SKFINDIA
130.0,0.024,1.1556,,,SKFINDIA
130.0,0.024500001,1.1556,,,SKFINDIA
