quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.531,1.322,66.007,0.02488,0.23646,0.09733,0.082229994,0.06216,0.09809,SKIPPER,2024-07-07
0.531,1.322,66.007,0.02488,0.23646,0.09733,0.082229994,0.06216,0.09809,SKIPPER,2024-07-13
0.531,1.322,66.007,0.02488,0.23646,0.09733,0.082229994,0.06216,0.09809,SKIPPER,2024-07-20
0.531,1.322,66.007,0.02488,0.23646,0.09733,0.082229994,0.06216,0.09809,SKIPPER,2024-07-27
,,66.007,0.02562,0.22719999,0.09544,0.08258,,,SKIPPER,2024-08-03
,,66.007,0.02562,0.22719999,0.09544,0.08258,,,SKIPPER,2024-08-10
,,66.007,0.02562,0.22719999,0.09544,0.08258,,,SKIPPER,2024-08-17
,,66.007,0.02562,0.22719999,0.09544,0.08258,,,SKIPPER,2024-08-24
,,66.007,0.02562,0.22719999,0.09544,0.08258,,,SKIPPER,2024-09-01
,,66.007,0.02562,0.22719999,0.09544,0.08258,,,SKIPPER,2024-09-08
,,66.007,0.02562,0.22719999,0.09544,0.08258,,,SKIPPER,2024-09-15
,,66.007,0.02562,0.22719999,0.09544,0.08258,,,SKIPPER,2024-09-21
,,66.007,0.02562,0.22719999,0.09544,0.08258,,,SKIPPER,2024-09-28
,,66.007,0.02562,0.22719999,0.09544,0.08258,,,SKIPPER,2024-10-05
,,66.007,0.02562,0.22719999,0.09544,0.08258,,,SKIPPER,2024-10-12
,,66.007,0.02562,0.22719999,0.09544,0.08258,,,SKIPPER,2024-10-19
