priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
0.8843932,2.2953455,19.491592,0.757,11.635,SMLT,2024-07-07
0.845459,2.1952896,18.660395,0.719,11.05,SMLT,2024-07-13
0.85254556,2.1984346,18.687128,0.72,11.068,SMLT,2024-07-20
0.8649727,2.2738476,19.09109,0.75,11.537,SMLT,2024-07-27
0.84501034,2.2213705,18.650494,0.73,11.23,SMLT,2024-08-03
0.8720155,2.2923617,19.227499,0.757,11.645,SMLT,2024-08-10
0.76785266,2.0646522,23.707756,0.695,10.678,SMLT,2024-08-17
0.94713306,2.2030034,25.331484,0.868,16.45,SMLT,2024-08-24
0.93395555,2.1623545,24.829641,0.85,16.107,SMLT,2024-09-01
0.9093241,2.1129003,24.261774,0.828,15.69,SMLT,2024-09-08
0.9010256,2.0875702,23.970917,0.817,15.477,SMLT,2024-09-15
0.8664915,2.013992,23.158113,0.784,14.856,SMLT,2024-09-21
0.9422522,2.1839454,25.077562,0.86,16.289,SMLT,2024-09-28
0.92747414,2.150413,24.692522,0.845,16.006,SMLT,2024-10-05
0.9593702,2.1793618,24.990316,0.858,16.25,SMLT,2024-10-12
1.0055224,2.317351,26.609419,0.919,17.413,SMLT,2024-10-19
