quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
1.352,1.573,66.449,0.02525,0.30096,0.20174,0.088999994,0.03592,0.030269999,SNOWMAN,2024-07-07
1.352,1.573,66.449,0.02525,0.30096,0.20174,0.088999994,0.03592,0.030269999,SNOWMAN,2024-07-13
1.352,1.573,66.449,0.02525,0.30096,0.20174,0.088999994,0.03592,0.030269999,SNOWMAN,2024-07-20
1.352,1.573,66.449,0.02525,0.30096,0.20174,0.088999994,0.03592,0.030269999,SNOWMAN,2024-07-27
1.352,1.573,66.449,0.02525,0.30096,0.20174,0.088999994,0.03592,0.030269999,SNOWMAN,2024-08-03
1.352,1.573,66.449,0.02525,0.30096,0.20174,0.088999994,0.03592,0.030269999,SNOWMAN,2024-08-10
,,66.449,0.02159,0.29567,0.20165001,0.055120002,,,SNOWMAN,2024-08-17
,,66.449,0.02159,0.29567,0.20165001,0.055120002,,,SNOWMAN,2024-08-24
,,66.449,0.02159,0.29567,0.20165001,0.055120002,,,SNOWMAN,2024-09-01
,,66.449,0.02159,0.29567,0.20165001,0.055120002,,,SNOWMAN,2024-09-08
,,66.449,0.02159,0.29567,0.20165001,0.055120002,,,SNOWMAN,2024-09-15
,,66.449,0.02159,0.29567,0.20165001,0.055120002,,,SNOWMAN,2024-09-21
,,66.449,0.02159,0.29567,0.20165001,0.055120002,,,SNOWMAN,2024-09-28
,,66.449,0.02159,0.29567,0.20165001,0.055120002,,,SNOWMAN,2024-10-05
,,66.449,0.02159,0.29567,0.20165001,0.055120002,,,SNOWMAN,2024-10-12
,,66.449,0.02159,0.29567,0.20165001,0.055120002,,,SNOWMAN,2024-10-19
