priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
1.2757502,4.6300817,35.084858,1.443,14.767,SOMANYCERA,2024-07-07
1.229944,4.458661,33.785904,1.395,14.279,SOMANYCERA,2024-07-13
1.1761421,4.254794,32.255116,1.339,13.699,SOMANYCERA,2024-07-20
1.2070744,4.329036,33.114113,1.362,14.38,SOMANYCERA,2024-07-27
1.1849221,4.260141,32.57292,1.383,14.603,SOMANYCERA,2024-08-03
1.1592853,4.15879,32.36154,1.319,14.048,SOMANYCERA,2024-08-10
1.1367465,4.0565853,31.55226,1.276,13.589,SOMANYCERA,2024-08-17
1.1864282,4.1807113,32.57542,1.325,14.113,SOMANYCERA,2024-08-24
1.1428579,4.0998588,31.945429,1.303,13.873,SOMANYCERA,2024-09-01
1.1258749,4.038934,31.44282,1.286,13.692,SOMANYCERA,2024-09-08
1.1519842,4.1325984,32.15773,1.312,13.97,SOMANYCERA,2024-09-15
1.1554798,4.1439857,32.274944,1.315,14.004,SOMANYCERA,2024-09-21
1.1127806,3.99196,31.0496,1.273,13.552,SOMANYCERA,2024-09-28
1.1577779,4.1513877,32.361294,1.317,14.026,SOMANYCERA,2024-10-05
1.1431752,4.1009974,31.954302,1.303,13.876,SOMANYCERA,2024-10-12
1.1166695,3.9965153,31.154016,1.274,13.566,SOMANYCERA,2024-10-19
