priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
3.0398557,7.904001,46.07492,2.856,33.712,SPLPETRO,2024-07-07
3.1007452,8.055339,46.95711,2.914,34.399,SPLPETRO,2024-07-13
3.1953049,8.3081875,42.020725,3.011,35.547,SPLPETRO,2024-07-20
2.9301443,8.124255,41.148582,2.758,29.933,SPLPETRO,2024-07-27
2.934352,8.124255,41.148582,2.758,29.933,SPLPETRO,2024-07-27
2.87002,7.957551,40.152725,2.697,29.281,SPLPETRO,2024-08-03
2.7430532,7.6055174,38.466793,2.57,27.902,SPLPETRO,2024-08-10
2.8856387,8.000856,40.48539,2.612,28.354,SPLPETRO,2024-08-17
2.9667642,8.110285,40.981174,2.753,29.879,SPLPETRO,2024-08-24
2.8940425,8.006445,40.494583,2.715,29.472,SPLPETRO,2024-09-01
2.9417326,8.156385,41.156013,2.769,30.059,SPLPETRO,2024-09-08
2.8747222,7.970589,40.313236,2.702,29.332,SPLPETRO,2024-09-15
3.0052776,8.2690735,41.763878,2.81,30.5,SPLPETRO,2024-09-21
2.9390454,8.148934,41.1571,2.766,30.03,SPLPETRO,2024-09-28
2.7848706,7.718671,39.057495,2.611,28.345,SPLPETRO,2024-10-05
2.6775532,7.351736,37.18323,2.479,26.909,SPLPETRO,2024-10-12
2.620957,7.266987,36.789253,2.448,26.577,SPLPETRO,2024-10-19
