earningsGrowth,revenueGrowth,symbol,Date
0.425,0.414,SRGHFL,2024-07-07
0.425,0.414,SRGHFL,2024-07-13
0.425,0.479,SRGHFL,2024-07-20
0.425,0.479,SRGHFL,2024-07-27
0.425,0.479,SRGHFL,2024-08-03
0.425,0.479,SRGHFL,2024-08-10
0.425,0.479,SRGHFL,2024-08-17
0.335,0.304,SRGHFL,2024-08-24
0.335,0.304,SRGHFL,2024-09-01
0.335,0.304,SRGHFL,2024-09-08
0.335,0.304,SRGHFL,2024-09-15
0.335,0.304,SRGHFL,2024-09-21
0.335,0.304,SRGHFL,2024-09-28
0.335,0.304,SRGHFL,2024-10-05
0.335,0.304,SRGHFL,2024-10-12
0.335,0.304,SRGHFL,2024-10-19
