priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
2.9244313,3.1370094,28.827396,2.938,10.646,STARCEMENT,2024-07-07
2.8455527,3.0547233,28.071232,2.861,10.368,STARCEMENT,2024-07-13
2.8569393,3.066947,28.183561,2.873,10.409,STARCEMENT,2024-07-20
2.9160998,3.1259782,28.726027,2.928,10.608,STARCEMENT,2024-07-27
2.8726306,3.0837917,28.338354,2.888,10.466,STARCEMENT,2024-08-03
2.7622356,2.9652817,34.47487,2.778,10.066,STARCEMENT,2024-08-10
2.953332,3.1601152,36.740036,2.926,11.502,STARCEMENT,2024-08-17
3.1352787,3.3190227,38.58752,3.11,12.228,STARCEMENT,2024-08-24
3.1797185,3.4023523,39.693913,3.188,12.533,STARCEMENT,2024-09-01
3.0628335,3.2772834,38.168404,3.072,12.075,STARCEMENT,2024-09-08
2.8998404,3.101382,36.11979,2.908,11.431,STARCEMENT,2024-09-15
2.9676816,3.1754692,36.98264,2.977,11.702,STARCEMENT,2024-09-21
2.8441126,3.0404127,35.471306,2.851,11.207,STARCEMENT,2024-09-28
2.9047143,3.106003,36.236523,2.912,11.448,STARCEMENT,2024-10-05
2.929092,3.108239,36.262608,2.914,11.456,STARCEMENT,2024-10-12
2.9061062,3.0869222,35.95139,2.894,11.378,STARCEMENT,2024-10-19
