quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.5,1.031,121.488,-0.01743,0.59505004,0.18347,0.16601999,0.05235,-0.06999,STAR,2024-07-07
0.5,1.031,121.488,-0.01743,0.59505004,0.18347,0.16601999,0.05235,-0.06999,STAR,2024-07-13
0.5,1.031,121.488,-0.01743,0.59505004,0.18347,0.16601999,0.05235,-0.06999,STAR,2024-07-20
0.5,1.031,121.488,-0.01743,0.59505004,0.18347,0.16601999,0.05235,-0.06999,STAR,2024-07-27
,,121.488,0.00159,0.60177,0.19263001,0.15484,,,STAR,2024-08-03
,,121.488,0.00159,0.60177,0.19263001,0.15484,,,STAR,2024-08-10
,,121.488,0.00159,0.60177,0.19263001,0.15484,,,STAR,2024-08-17
,,121.488,0.00159,0.60177,0.19263001,0.15484,,,STAR,2024-08-24
,,121.488,0.00159,0.60177,0.19263001,0.15484,,,STAR,2024-09-01
,,121.488,0.00159,0.60177,0.19263001,0.15484,,,STAR,2024-09-08
,,121.488,0.00159,0.60177,0.19263001,0.15484,,,STAR,2024-09-15
,,121.488,0.00159,0.60177,0.19263001,0.15484,,,STAR,2024-09-21
,,121.488,0.00159,0.60177,0.19263001,0.15484,,,STAR,2024-09-28
,,121.488,0.00159,0.60177,0.19263001,0.15484,,,STAR,2024-10-05
,,121.488,0.00159,0.60177,0.19263001,0.15484,,,STAR,2024-10-12
,,121.488,0.00159,0.60177,0.19263001,0.15484,,,STAR,2024-10-19
