priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
20.622353,0.23355848,27.856527,20.569,21.374,SUMMITSEC,2024-07-07
20.111006,0.22776721,27.150158,20.058,20.843,SUMMITSEC,2024-07-13
19.228014,0.21776688,25.973064,19.175,19.925,SUMMITSEC,2024-07-20
18.197685,0.22512823,28.903708,18.156,18.823,SUMMITSEC,2024-07-27
19.46586,0.24081716,30.96118,19.425,20.139,SUMMITSEC,2024-08-03
18.799555,0.23257414,29.85041,18.758,19.447,SUMMITSEC,2024-08-10
18.600397,0.23011029,29.497602,18.626,19.31,SUMMITSEC,2024-08-17
21.391912,0.2630643,33.784706,21.224,22.004,SUMMITSEC,2024-08-24
23.49493,0.2906618,37.31163,23.456,24.317,SUMMITSEC,2024-09-01
23.464666,0.2902874,37.31563,23.425,24.286,SUMMITSEC,2024-09-08
25.980515,0.3214116,41.32298,25.942,26.895,SUMMITSEC,2024-09-15
25.964897,0.3212184,41.202168,25.927,26.879,SUMMITSEC,2024-09-21
27.25262,0.33554253,43.106285,27.085,28.08,SUMMITSEC,2024-09-28
25.91408,0.32034877,41.154385,25.856,26.806,SUMMITSEC,2024-10-05
26.179676,0.3238755,41.49157,26.141,27.102,SUMMITSEC,2024-10-12
28.34846,0.35070607,45.047318,28.311,29.351,SUMMITSEC,2024-10-19
