quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.827,1.346,46.527,0.02865,0.44105998,0.05001,-0.010670001,0.03526,0.11186,SUNDRMBRAK,2024-07-07
0.827,1.346,46.527,0.02865,0.44105998,0.05001,-0.010670001,0.03526,0.11186,SUNDRMBRAK,2024-07-13
0.827,1.346,46.527,0.02865,0.44105998,0.05001,-0.010670001,0.03526,0.11186,SUNDRMBRAK,2024-07-20
0.827,1.346,46.527,0.02865,0.44105998,0.05001,-0.010670001,0.03526,0.11186,SUNDRMBRAK,2024-07-27
0.827,1.346,46.527,0.02865,0.44105998,0.05001,-0.010670001,0.03526,0.11186,SUNDRMBRAK,2024-08-03
0.827,1.346,46.527,0.02865,0.44105998,0.05001,-0.010670001,0.03526,0.11186,SUNDRMBRAK,2024-08-10
,,46.527,0.02358,0.46293998,0.04402,0.02674,,,SUNDRMBRAK,2024-08-17
,,46.527,0.02358,0.46293998,0.046269998,0.035940003,,,SUNDRMBRAK,2024-08-24
,,46.527,0.02358,0.46293998,0.046269998,0.035940003,,,SUNDRMBRAK,2024-09-01
,,46.527,0.02358,0.46293998,0.046269998,0.035940003,,,SUNDRMBRAK,2024-09-08
,,46.527,0.02358,0.46293998,0.046269998,0.035940003,,,SUNDRMBRAK,2024-09-15
,,46.527,0.02358,0.46293998,0.046269998,0.035940003,,,SUNDRMBRAK,2024-09-21
,,46.527,0.02358,0.46293998,0.046269998,0.035940003,,,SUNDRMBRAK,2024-09-28
,,46.527,0.02358,0.46293998,0.046269998,0.035940003,,,SUNDRMBRAK,2024-10-05
,,46.527,0.02358,0.46293998,0.046269998,0.035940003,,,SUNDRMBRAK,2024-10-12
,,46.527,0.02358,0.46293998,0.046269998,0.035940003,,,SUNDRMBRAK,2024-10-19
