priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
4.8767843,,,80.267,-128.585,SUPREMEINF,2024-07-07
4.351693,,,79.742,-127.744,SUPREMEINF,2024-07-13
4.1762257,,,79.403,-127.201,SUPREMEINF,2024-07-20
4.0112557,,,79.016,-126.582,SUPREMEINF,2024-07-27
3.5544326,,,78.8,-126.236,SUPREMEINF,2024-08-03
3.3387048,,,78.729,-126.121,SUPREMEINF,2024-08-10
3.6191924,,,78.932,-126.447,SUPREMEINF,2024-08-17
3.7193894,,,78.938,-126.456,SUPREMEINF,2024-08-24
3.0630283,,,78.39,-125.579,SUPREMEINF,2024-09-01
2.8280454,,,78.217,-125.302,SUPREMEINF,2024-09-08
3.5154772,,,78.899,-126.394,SUPREMEINF,2024-09-15
3.9876301,,,79.377,-127.161,SUPREMEINF,2024-09-21
4.396326,,,79.786,-127.815,SUPREMEINF,2024-09-28
4.757764,,,80.148,-128.394,SUPREMEINF,2024-10-05
4.9450464,,,80.335,-128.694,SUPREMEINF,2024-10-12
5.4587607,,,80.849,-129.517,SUPREMEINF,2024-10-19
