priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
237.6585,10.290721,,217.205,-19.764,SUVEN,2024-07-07
248.55017,10.762336,,228.097,-20.755,SUVEN,2024-07-13
234.43185,10.131632,,213.531,-19.43,SUVEN,2024-07-20
275.7607,11.940563,,255.307,-23.231,SUVEN,2024-07-27
276.48776,11.940563,,255.307,-23.231,SUVEN,2024-07-27
265.48447,11.495599,,245.031,-22.296,SUVEN,2024-08-03
333.911,10.606476,,294.893,-20.061,SUVEN,2024-08-10
349.09995,11.496406,,290.484,-19.761,SUVEN,2024-08-17
369.82623,12.1909075,,342.959,-23.331,SUVEN,2024-08-24
349.49265,11.520633,,322.625,-21.947,SUVEN,2024-09-01
369.31058,12.159412,,342.003,-23.266,SUVEN,2024-09-08
371.19815,12.23613,,344.331,-23.424,SUVEN,2024-09-15
372.25153,12.270855,,345.384,-23.496,SUVEN,2024-09-21
353.2649,11.556166,,333.233,-22.669,SUVEN,2024-09-28
348.24323,11.479446,,321.376,-21.862,SUVEN,2024-10-05
349.95767,11.333279,,316.942,-21.561,SUVEN,2024-10-12
324.35727,10.551562,,293.227,-19.948,SUVEN,2024-10-19
