quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.328,0.935,1619.171,-0.84438,-0.03497,-0.04782,-1.01225,-0.02158,-0.86938006,SVPGLOB,2024-07-07
0.328,0.935,1619.171,-0.84438,-0.03497,-0.04782,-1.01225,-0.02158,-0.86938006,SVPGLOB,2024-07-13
0.328,0.935,1619.171,-0.84438,-0.03497,-0.04782,-1.01225,-0.02158,-0.86938006,SVPGLOB,2024-07-20
0.328,0.935,1619.171,-0.84438,-0.03497,-0.04782,-1.01225,-0.02158,-0.86938006,SVPGLOB,2024-07-27
0.328,0.935,1619.171,-0.84438,-0.03497,-0.04782,-1.01225,-0.02158,-0.86938006,SVPGLOB,2024-08-03
0.328,0.935,1619.171,-0.84438,-0.03497,-0.04782,-1.01225,-0.02158,-0.86938006,SVPGLOB,2024-08-10
0.328,0.935,1619.171,-0.84438,-0.03497,-0.04782,-1.01225,-0.02158,-0.86938006,SVPGLOB,2024-08-17
,,1619.171,-1.0641,-0.03935,-0.21943001,-1.27727,,,SVPGLOB,2024-08-24
,,1619.171,-1.0641,-0.03935,-0.21943001,-1.27727,,,SVPGLOB,2024-09-01
,,1619.171,-1.0641,-0.03935,-0.21943001,-1.27727,,,SVPGLOB,2024-09-08
,,1619.171,-1.0641,-0.03935,-0.21943001,-1.27727,,,SVPGLOB,2024-09-15
,,1619.171,-1.0641,-0.03935,-0.21943001,-1.27727,,,SVPGLOB,2024-09-21
,,1619.171,-1.0641,-0.03935,-0.21943001,-1.27727,,,SVPGLOB,2024-09-28
,,1619.171,-1.0641,-0.03935,-0.21943001,-1.27727,,,SVPGLOB,2024-10-05
,,1619.171,-1.0641,-0.03935,-0.21943001,-1.27727,,,SVPGLOB,2024-10-12
,,1619.171,-1.0641,-0.03935,-0.21943001,-1.27727,,,SVPGLOB,2024-10-19
