quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.57,1.234,37.56,0.03403,0.20512,0.06285,0.051,0.0295,0.07723,SYRMA,2024-07-07
0.57,1.234,37.56,0.03403,0.20512,0.06285,0.051,0.0295,0.07723,SYRMA,2024-07-13
0.57,1.234,37.56,0.03403,0.20512,0.06285,0.051,0.0295,0.07723,SYRMA,2024-07-20
0.57,1.234,37.56,0.03403,0.20512,0.06285,0.051,0.0295,0.07723,SYRMA,2024-07-27
0.57,1.234,37.56,0.03403,0.20512,0.06285,0.051,0.0295,0.07723,SYRMA,2024-08-03
,,37.56,0.02643,0.18539,0.05524,0.023459999,,,SYRMA,2024-08-10
,,37.56,0.02643,0.18539,0.05524,0.023459999,,,SYRMA,2024-08-17
,,37.56,0.02643,0.18539,0.05524,0.023459999,,,SYRMA,2024-08-24
,,37.56,0.02643,0.18539,0.05524,0.023459999,,,SYRMA,2024-09-01
,,37.56,0.02643,0.18539,0.05524,0.023459999,,,SYRMA,2024-09-08
,,37.56,0.02643,0.18539,0.05524,0.023459999,,,SYRMA,2024-09-15
,,37.56,0.02643,0.18539,0.05524,0.023459999,,,SYRMA,2024-09-21
,,37.56,0.02643,0.18539,0.05524,0.023459999,,,SYRMA,2024-09-28
,,37.56,0.02643,0.18539,0.05524,0.023459999,,,SYRMA,2024-10-05
,,37.56,0.02643,0.18539,0.05524,0.023459999,,,SYRMA,2024-10-12
,,37.56,0.02643,0.18539,0.05524,0.023459999,,,SYRMA,2024-10-19
