priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
15.052969,3.201591,,21.146,346.23,TCLCONS,2024-07-07
14.483223,3.0804129,,20.58,336.971,TCLCONS,2024-07-13
13.218125,2.7964208,,19.255,315.272,TCLCONS,2024-07-20
14.240745,2.9927917,,20.171,330.276,TCLCONS,2024-07-27
13.618409,2.8175492,,19.354,316.887,TCLCONS,2024-08-03
13.481055,2.8672633,,19.586,320.685,TCLCONS,2024-08-10
14.741571,2.4453144,,22.487,79.871,TCLCONS,2024-08-17
16.355122,2.678971,,23.804,84.55,TCLCONS,2024-08-24
15.745389,2.6019142,,23.347,82.925,TCLCONS,2024-09-01
14.871699,2.4049218,,22.177,78.77,TCLCONS,2024-09-08
14.737826,2.4819987,,22.634,80.394,TCLCONS,2024-09-15
16.957424,2.8558013,,24.854,88.278,TCLCONS,2024-09-21
15.436808,2.5796757,,23.214,82.455,TCLCONS,2024-09-28
14.867958,2.465093,,22.534,80.038,TCLCONS,2024-10-05
14.990645,2.5245757,,22.887,81.292,TCLCONS,2024-10-12
14.529598,2.3793125,,22.025,78.229,TCLCONS,2024-10-19
