quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
1.596,2.524,0.001,0.11829001,0.34515,0.16731001,0.13809,0.09422,0.18073,TDPOWERSYS,2024-07-07
1.596,2.524,0.001,0.11829001,0.34515,0.16731001,0.13809,0.09422,0.18073,TDPOWERSYS,2024-07-13
1.596,2.524,0.001,0.11829001,0.34515,0.16731001,0.13809,0.09422,0.18073,TDPOWERSYS,2024-07-20
1.538,2.524,0.001,0.11829001,0.33582002,0.16507,0.13861,0.09431,0.18073,TDPOWERSYS,2024-07-27
1.538,2.524,0.001,0.11829001,0.33582002,0.16507,0.13861,0.09431,0.18073,TDPOWERSYS,2024-08-03
1.538,2.524,0.001,0.11829001,0.33582002,0.16507,0.13861,0.09431,0.18073,TDPOWERSYS,2024-08-10
1.538,2.524,0.001,0.11829001,0.33582002,0.16507,0.13861,0.09431,0.18073,TDPOWERSYS,2024-08-17
,,0.001,0.12053,0.33653,0.16645999,0.16014,,,TDPOWERSYS,2024-08-24
,,0.001,0.12053,0.33653,0.16645999,0.16014,,,TDPOWERSYS,2024-09-01
,,0.001,0.12053,0.33653,0.16645999,0.16014,,,TDPOWERSYS,2024-09-08
,,0.001,0.12053,0.33653,0.16645999,0.16014,,,TDPOWERSYS,2024-09-15
,,0.001,0.12053,0.33653,0.16645999,0.16014,,,TDPOWERSYS,2024-09-21
,,0.001,0.12053,0.33653,0.16645999,0.16014,,,TDPOWERSYS,2024-09-28
,,0.001,0.12053,0.33653,0.16645999,0.16014,,,TDPOWERSYS,2024-10-05
,,0.001,0.12053,0.33653,0.16645999,0.16014,,,TDPOWERSYS,2024-10-12
,,0.001,0.12053,0.33653,0.16645999,0.16014,,,TDPOWERSYS,2024-10-19
