quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
,,,,,,,,,TECILCHEM,2024-07-07
,,,,,,,,,TECILCHEM,2024-07-13
,,,,,,,,,TECILCHEM,2024-07-20
,,,,,,,,,TECILCHEM,2024-07-27
,,,,,,,,,TECILCHEM,2024-08-03
,,,,,,,,,TECILCHEM,2024-08-10
,,,,,,,,,TECILCHEM,2024-08-17
,,,,,,,,,TECILCHEM,2024-08-24
,,,,,,,,,TECILCHEM,2024-09-01
,,,,,,,,,TECILCHEM,2024-09-08
,,,,,,,,,TECILCHEM,2024-09-15
,,,,,,,,,TECILCHEM,2024-09-21
,,,,,,,,,TECILCHEM,2024-09-28
,,,,,,,,,TECILCHEM,2024-10-05
,,,,,,,,,TECILCHEM,2024-10-12
,,,,,,,,,TECILCHEM,2024-10-19
