earningsGrowth,revenueGrowth,symbol,Date
1.654,0.156,THEJO,2024-07-07
1.654,0.156,THEJO,2024-07-13
1.654,0.156,THEJO,2024-07-20
1.654,0.156,THEJO,2024-07-27
1.657,0.156,THEJO,2024-08-03
1.657,0.156,THEJO,2024-08-10
-0.241,-0.031,THEJO,2024-08-17
-0.241,-0.031,THEJO,2024-08-24
-0.241,-0.031,THEJO,2024-09-01
-0.241,-0.031,THEJO,2024-09-08
-0.241,-0.031,THEJO,2024-09-15
-0.241,-0.031,THEJO,2024-09-21
-0.241,-0.031,THEJO,2024-09-28
-0.241,-0.031,THEJO,2024-10-05
-0.241,-0.031,THEJO,2024-10-12
-0.241,-0.031,THEJO,2024-10-19
